FID,name,x,y
1,Camera,28.24511,-25.753
2,Camera,28.24022,-25.7502
3,Camera,28.24034,-25.7522
4,Camera,28.24298,-25.7502
5,Camera,28.24489,-25.7504
6,Camera,28.24306,-25.7516
7,Camera,28.24269,-25.7523
8,Camera,28.24275,-25.7524
9,Camera,28.24276,-25.7524
10,Camera,28.24271,-25.7515
11,Camera,28.24068,-25.7516
12,Camera,28.24488,-25.7504
13,Camera,28.24279,-25.7524
14,Camera,28.24259,-25.7522
15,Camera,28.24279,-25.7525
16,Camera,28.23265,-25.763
17,Camera,28.23,-25.7546
18,Camera,28.23147,-25.7542
19,Camera,28.23158,-25.7542
20,Camera,28.23162,-25.7544
21,Camera,28.24009,-25.7481
22,Camera,28.24063,-25.7486
23,Camera,28.24428,-25.7469
24,Camera,28.24134,-25.7486
25,Camera,28.23981,-25.7487
26,Camera,28.24313,-25.7486
27,Camera,28.24246,-25.7486
28,Camera,28.24357,-25.7486
29,Camera,28.22928,-25.7511
30,Camera,28.22947,-25.751
31,Camera,28.2268,-25.7536
32,Camera,28.22781,-25.7528
33,Camera,28.22896,-25.7525
34,Camera,28.2276,-25.7546
35,Camera,28.23151,-25.7539
36,Camera,28.22854,-25.7532
37,Camera,28.23553,-25.7535
38,Camera,28.23546,-25.7522
39,Camera,28.23286,-25.7522
40,Camera,28.2326,-25.7507
41,Camera,28.23119,-25.7552
42,Camera,28.22887,-25.7545
43,Camera,28.23117,-25.756
44,Camera,28.23157,-25.7554
45,Camera,28.23602,-25.7563
46,Camera,28.23217,-25.7559
47,Camera,28.23566,-25.7575
48,Camera,28.2293,-25.7542
49,Camera,28.23074,-25.7555
50,Camera,28.22895,-25.7551
51,Camera,28.22905,-25.7544
52,Camera,28.22947,-25.755
53,Camera,28.22905,-25.7546
54,Camera,28.22941,-25.7543
55,Camera,28.23072,-25.7549
56,Camera,28.23056,-25.7546
57,Camera,28.23137,-25.7542
58,Camera,28.23119,-25.7543
59,Camera,28.23166,-25.7543
60,Camera,28.23164,-25.7543
61,Camera,28.2315,-25.7541
62,Camera,28.23166,-25.7541
63,Camera,28.23151,-25.7539
64,Camera,28.23153,-25.754
65,Camera,28.23534,-25.756
66,Camera,28.23333,-25.7546
67,Camera,28.22894,-25.7546
68,Camera,28.23968,-25.7466
69,Camera,28.23759,-25.7504
70,Camera,28.23765,-25.7505
71,Camera,28.23498,-25.7492
72,Camera,28.23524,-25.7505
73,Camera,28.23731,-25.7474
74,Camera,28.23483,-25.7476
75,Camera,28.23877,-25.7459
76,Camera,28.23743,-25.749
77,Camera,28.2373,-25.7476
78,Camera,28.24083,-25.7486
79,Camera,28.24245,-25.7487
80,Camera,28.24352,-25.7486
81,Camera,28.24309,-25.7486
82,Camera,28.24459,-25.7471
83,Camera,28.24452,-25.7471
84,Camera,28.24409,-25.7471
85,Camera,28.24327,-25.7472
86,Camera,28.22892,-25.7543
87,Camera,28.2316,-25.7545
