fid,Date,Confirmation,x,y
1,2021/08/19 10:32,Yes,28.24024379,-25.75035926
2,2021/08/19 11:12,Yes,28.24068912,-25.75162841
3,2021/08/19 11:08,Yes,28.24047565,-25.75178248
4,2021/08/19 10:50,Yes,28.23697926,-25.75047444
5,2021/08/19 11:22,Yes,28.23510661,-25.74971745
6,2021/08/19 10:30,Yes,28.23960534,-25.74658682
7,2021/08/19 11:10,Yes,28.2409985,-25.7517946
8,2021/08/19 11:17,Yes,28.24257726,-25.75169577
9,2021/08/19 10:12,Yes,28.23690818,-25.7637227
10,2021/08/19 10:20,Yes,28.23619227,-25.76617328
11,2021/08/19 10:36,No,28.2376858,-25.7552824
12,2021/08/19 09:55,Yes,28.23248114,-25.74893163
13,2021/08/19 10:15,Yes,28.23602095,-25.74616227
14,2021/08/19 10:43,Yes,28.23923411,-25.75035515
15,2021/08/19 10:03,Yes,28.23254445,-25.74791877
16,2021/08/19 11:28,Yes,28.24019518,-25.75235332
17,2021/08/19 10:58,Yes,28.23986764,-25.7531973
18,2021/08/19 10:50,Yes,28.23902733,-25.75559045
19,2021/08/19 12:02,Yes,28.23557926,-25.75082526
20,2021/08/19 11:56,Yes,28.23777834,-25.75116347
21,2021/08/19 10:53,Yes,28.23959743,-25.75507776
22,2021/08/19 10:53,Yes,28.23972839,-25.75485041
23,2021/08/19 10:02,Yes,28.23760672,-25.75802652
24,2021/08/19 11:58,Yes,28.23689983,-25.75065879
25,2021/08/19 10:08,Yes,28.23885877,-25.7573913
26,2021/08/19 10:06,Yes,28.23875084,-25.75833717
27,2021/08/19 10:51,Yes,28.23936327,-25.75554444
28,2021/08/19 12:07,Yes,28.23527316,-25.75198011
29,2021/08/24 10:02,Yes,28.24270776,-25.74723853
30,2021/08/24 09:34,Yes,28.23972542,-25.7475533
31,2021/08/24 09:42,Yes,28.24176097,-25.74860208
32,2021/08/24 10:12,Yes,28.2420221,-25.7481113
33,2021/08/24 09:27,Yes,28.23498611,-25.75200383
34,2021/08/24 09:36,Yes,28.2327347,-25.75168986
35,2021/08/24 09:41,Yes,28.23196291,-25.75088585
36,2021/08/24 09:59,Yes,28.22772915,-25.75465114
37,2021/08/24 09:20,Yes,28.22638809,-25.75598784
38,2021/08/24 10:14,Yes,28.23113057,-25.75422965
39,2021/08/24 10:35,Yes,28.2309916,-25.7556943
40,2021/08/24 09:40,Yes,28.2358076,-25.7562607
41,2021/08/24 09:49,Yes,28.23332068,-25.75427969
