fid,defect,x,y
1,Abandoned Building Site,28.2281,-25.7467
2,Blocked Storm Drain,28.2448,-25.75
3,Blocked Storm Drain,28.23977,-25.7476
4,Broken Concrete Pillar,28.23773,-25.7505
5,Broken Concrete Pillar,28.23839,-25.7556
6,Broken Street Light,28.23737,-25.7486
7,Broken Street Light,28.22875,-25.7515
8,Broken Street Light,28.22898,-25.7515
9,Broken Traffic Sign,28.2352,-25.7522
10,Broken Traffic Sign,28.23708,-25.7461
11,Burst Pipe,28.24481,-25.7477
12,Burst Pipe,28.24476,-25.7513
13,Burst Pipe,28.24017,-25.7487
14,Ditch,28.24178,-25.7515
15,Open Electric Box,28.2377,-25.746
16,Open Electric Box,28.24084,-25.7533
17,Open Electric Box,28.24411,-25.7515
18,Open Electric Box,28.24319,-25.747
19,Open Electric Box,28.24331,-25.7484
20,Open Electric Box,28.24473,-25.753
21,Open Electric Box,28.23257,-25.7481
22,Open Electric Box,28.22859,-25.748
23,Open Manhole,28.23627,-25.7536
24,Open Manhole,28.2275,-25.753
25,Open Manhole,28.22692,-25.7536
26,Open Manhole,28.22975,-25.7518
27,Open Manhole,28.2424,-25.75
28,Open Manhole,28.23188,-25.7598
29,Open Manhole,28.24265,-25.7532
30,Open Manhole,28.24521,-25.7515
31,Open Manhole,28.2424,-25.7485
32,Open Manhole,28.23689,-25.7553
33,Pavement Defect,28.24005,-25.7482
34,Pavement Defect,28.23555,-25.7537
35,Pavement Defect,28.23815,-25.7556
36,Pavement Defect,28.2284,-25.7562
37,Pavement Defect,28.24509,-25.7501
38,Pavement Defect,28.23588,-25.7505
39,Pavement Defect,28.23774,-25.7597
40,Pavement Defect,28.23339,-25.7586
41,Pavement Defect,28.23195,-25.7598
42,Pavement Defect,28.22546,-25.7559
43,Pavement Defect,28.23241,-25.7464
44,Pavement Defect,28.23743,-25.758
45,Pavement Defect,28.23796,-25.7582
46,Pavement Defect,28.23931,-25.7519
47,Pavement Defect,28.23675,-25.7566
48,Pavement Defect,28.23835,-25.7535
49,Pavement Defect,28.23796,-25.7553
50,Pothole,28.23616,-25.7593
51,Pothole,28.23601,-25.7593
52,Pothole,28.23226,-25.7585
53,Pothole,28.23123,-25.7598
54,Pothole,28.23248,-25.76
55,Pothole,28.23066,-25.7597
56,Pothole,28.23656,-25.7561
57,Pothole,28.23636,-25.7567
58,Pothole,28.23888,-25.7574
59,Pothole,28.23082,-25.7509
