fid,date,x,y
1,2021-08-19T00:00:00.000,28.23264,-25.757124
2,2021-08-19T00:00:00.000,28.234806,-25.758998
3,2021-08-19T10:58:47.000,28.2440218214074,-25.751557039494
4,2021-08-19T10:14:13.000,28.2378881333236,-25.7564062539744
5,2021-08-24T10:07:15.000,28.2404599373292,-25.7471809526944
6,2021-08-19T10:43:40.000,28.2389968123632,-25.7501380141385
7,2021-08-24T09:33:49.000,28.24006671,-25.7479256
8,2021-08-24T09:35:49.000,28.24013172,-25.74751767
9,2021-08-24T09:53:46.000,28.2448933881601,-25.7477478647011
10,2021-08-24T09:23:54.000,28.2298722178773,-25.7466690650823
