FID,Date,x,y
1,########,28.2405,-25.7474
2,########,28.24074,-25.7487
3,########,28.24185,-25.7485
4,########,28.24096,-25.7486
5,########,28.24557,-25.747
6,########,28.24488,-25.7477
7,########,28.24379,-25.7484
8,########,28.24031,-25.7474
9,########,28.24303,-25.7472
10,2021-08-19 12:08:29,28.23547,-25.7526
11,2021-08-19 12:05:25,28.23529,-25.7513
12,########,28.24276,-25.7523
13,2021-08-19 12:00:17,28.23632,-25.7505
14,########,28.24219,-25.7517
15,2021-08-19 11:58:43,28.23712,-25.7506
16,########,28.24223,-25.7517
17,2021-08-19 11:56:21,28.23762,-25.7509
18,2021-08-19 11:55:28,28.23766,-25.7507
19,2021-08-19 11:54:12,28.23817,-25.7505
20,2021-08-19 11:45:01,28.23765,-25.7522
21,2021-08-19 11:42:51,28.23686,-25.7519
22,2021-08-19 11:30:33,28.23967,-25.7519
23,########,28.24482,-25.7513
24,2021-08-19 11:28:35,28.24014,-25.7527
25,2021-08-19 11:16:53,28.23543,-25.7538
26,2021-08-19 11:14:40,28.23555,-25.7539
27,2021-08-19 11:11:04,28.23696,-25.7536
28,2021-08-19 11:10:42,28.23707,-25.7536
29,2021-08-19 11:07:49,28.23793,-25.7538
30,2021-08-19 11:06:41,28.23787,-25.754
31,2021-08-19 11:06:13,28.23755,-25.7539
32,2021-08-19 11:01:16,28.23926,-25.7535
33,2021-08-19 10:59:24,28.23494,-25.7506
34,########,28.24223,-25.7532
35,2021-08-19 10:30:03,28.23918,-25.7561
36,2021-08-19 10:24:18,28.23762,-25.7567
37,2021-08-19 10:22:56,28.23716,-25.7566
38,2021-08-19 10:14:02,28.23653,-25.7564
39,2021-08-19 10:10:11,28.23887,-25.7574
40,2021-08-19 10:43:17,28.23652,-25.7549
