fid,date,x,y
1,2021-08-19T00:00:00.000,28.238104,-25.75972
2,2021-08-19T00:00:00.000,28.235627,-25.759214
3,2021-08-19T00:00:00.000,28.234787,-25.760505
4,2021-08-19T10:24:38.000,28.2403154271959,-25.7518024844458
5,2021-08-19T10:58:04.000,28.2441124606365,-25.7515182777156
6,2021-08-19T10:59:04.000,28.2439701529156,-25.751585261144
7,2021-08-19T10:31:21.000,28.2391472330607,-25.7557730596007
8,2021-08-19T10:35:00.000,28.2383866647101,-25.755590532572
9,2021-08-19T10:47:42.000,28.2379915244772,-25.7553286052712
10,2021-08-19T10:52:39.000,28.2396168260173,-25.7551320144768
11,2021-08-19T10:54:18.000,28.239879653077,-25.7546612809931
12,2021-08-19T10:55:23.000,28.2401101850236,-25.754363341281
13,2021-08-19T11:31:00.000,28.2395252120013,-25.7518978463726
14,2021-08-24T09:30:58.000,28.2340198941529,-25.7571659982204
15,2021-08-24T09:33:23.000,28.2358179800212,-25.7575853867456
