fid,name,date,x,y,,
70,"@Park 1285 Pie, Egg and Juice ",2021-08-24T09:47:09.000,28.243926193348,-25.7485902828872,,
87,AcuMe Wellness Center,2021-08-24T09:40:48.000,28.2305677981936,-25.7480599609008,,
81,Akademia Liquor Store,2021-08-24T09:31:51.000,28.2346553540073,-25.7515991712021,,
65,Archneer,2021-08-19T11:58:59.000,28.2376931074992,-25.7491422073633,,
61,AutoZone,2021-08-19T10:23:31.000,28.2386139801848,-25.746087864594,,
25,Black Tie,2021-08-19T10:33:23.000,28.2388169427877,-25.7557994468297,,
27,Bookit,2021-08-19T11:30:49.000,28.2397646948099,-25.7516700362973,,
88,Botaki (community art center),2021-08-24T09:39:29.000,28.2308561286077,-25.7480264641887,,
41,BP Hatfield Gardens,2021-08-19T10:14:25.000,28.2357796140383,-25.7462016477067,,
50,Caliber’s IT Solutions,2021-08-19T11:07:35.000,28.233680427657,-25.7505831665332,,
42,Cash Crusaders,2021-08-19T11:24:13.000,28.2352308742141,-25.7497402282677,,
23,Cell City,2021-08-19T12:03:05.000,28.2356285886772,-25.7508425601706,,
39,Cellstudio,2021-08-19T09:48:15.000,28.2328181189122,-25.7502180155228,,
21,Chez le roi,2021-08-19T11:06:37.000,28.2411476530692,-25.7517847428256,,
2,Clemintina med practice,2021-08-19T10:19:09.000,28.2401862766482,-25.7529616698205,,
36,Clicks,2021-08-19T10:52:40.000,28.2372279336039,-25.7500343554999,,
75,Club sport maritimo,2021-08-24T09:52:02.000,28.2449085898002,-25.7481936138746,,
84,Coco internet cafe,2021-08-24T09:29:13.000,28.2346788720909,-25.7517319197808,,
9,Dekra,2021-08-19T10:23:41.000,28.2401120098417,-25.7522557363628,,
89,Domus home,2021-08-19T00:00:00.000,28.237288,-25.762338,,
59,Drivio,2021-08-19T11:12:41.000,28.2328769364737,-25.7505444226348,,
12,Duncan Walk Shopping Centre,2021-08-19T10:18:30.000,28.2403883707109,-25.7527921066039,,
13,Duncan Yard,2021-08-19T10:27:01.000,28.2402521246466,-25.7514855037454,,
24,Fasion lounge,2021-08-19T10:32:59.000,28.2387515638121,-25.7557320653139,,
40,Festival Mini Market,2021-08-19T09:57:56.000,28.2326485298228,-25.7488209791083,,
77,Ford CMH Hatfield,2021-08-24T09:32:07.000,28.2405118268274,-25.7491414321973,,
32,Framing & Art,2021-08-19T10:31:08.000,28.2328905332222,-25.7660904161701,,
52,Franco Ceccato,2021-08-19T11:05:53.000,28.2340759960405,-25.7505290032508,,
68,Hair kair,2021-08-19T11:16:22.000,28.2337629788504,-25.7503990796069,,
72,Hatfield budget accommodation,2021-08-24T10:05:42.000,28.2410036268563,-25.7471586280111,,
29,Hatfield Square,2021-08-19T12:01:26.000,28.2361717582203,-25.7509861737366,,
31,Haus,2021-08-19T10:27:37.000,28.2340658173402,-25.7666571469713,,
14,Haval,2021-08-19T10:31:27.000,28.2402440593118,-25.7504392969387,,
7,Hot dops,2021-08-19T10:21:30.000,28.2401658093266,-25.7526743344161,,
43,Jules Costumes,2021-08-19T11:20:24.000,28.2345553925072,-25.7494413234472,,
62,Kia Motors,2021-08-19T10:27:28.000,28.2394095531319,-25.7461010248881,,
1,Lauder and dry cleaning,2021-08-19T10:18:46.000,28.2401900150474,-25.7529703078197,,
49,Lifestyle Boutique,2021-08-19T11:06:18.000,28.233964811538,-25.7505267135266,,
19,Living stones,2021-08-19T10:35:06.000,28.241134788841,-25.7502760319039,,
4,Luv land adult fun store,2021-08-19T10:20:25.000,28.2401537752243,-25.7528336283546,,
5,Mamush minimarket,2021-08-19T10:20:51.000,28.2401565666753,-25.7527505227013,,
35,Markham,2021-08-19T10:52:56.000,28.2370998514234,-25.7500124354488,,
